Date,SPY,QQQ,IWM,EFA,EEM,AGG,TLT,LQD,GLD,DBC,VNQ,USMV,MTUM,VLUE,QUAL
2015-01-02,169.687851,94.561127,102.543129,43.098621,30.198093,80.636711,93.023773,80.427948,114.080002,15.412328,52.090736,32.813419,59.469524,49.133400,52.515606
2015-01-05,166.623322,93.174049,101.172180,42.081268,29.660646,80.811951,94.485031,80.756874,115.800003,15.192513,52.375843,32.505630,58.699364,49.133400,51.722469
2015-01-06,165.053986,91.924774,99.421890,41.604610,29.536016,81.016449,96.187347,81.085747,117.120003,15.048790,52.895340,32.416527,58.200474,48.111500,51.275272
2015-01-07,167.110703,93.109741,100.646217,42.067043,30.174715,81.001846,95.997398,81.193207,116.430000,14.955792,53.706280,32.829639,59.163212,48.494717,51.857475
2015-01-08,170.076065,94.891853,102.353424,42.636181,30.688799,80.877663,94.726151,80.931374,115.940002,15.014971,53.909046,33.315647,60.370968,49.479042,52.827797
2015-01-09,168.713120,94.267189,101.370514,42.429871,30.587540,81.074829,95.763580,81.146202,117.260002,14.989607,53.934391,33.121235,60.055916,49.013184,52.372169
2015-01-12,167.391464,93.284264,101.034271,42.330273,30.338285,81.140549,96.311623,81.300568,118.559998,14.659886,54.346195,32.975433,59.705826,48.502232,51.941849
2015-01-13,166.920731,93.256752,101.111832,42.543697,30.603119,81.162476,96.311623,81.374359,118.160004,14.600706,54.263832,32.943027,59.504528,48.366974,51.798416
2015-01-14,165.912964,92.742310,100.706612,42.422756,30.431757,81.359619,97.042252,81.515335,117.970001,14.761339,54.732655,32.829639,59.303246,47.983765,51.595905
2015-01-15,164.393143,91.538933,99.008064,42.693096,30.501863,81.732010,98.569229,81.938171,120.940002,14.558435,54.859386,32.781036,58.909412,47.555489,51.114971
2015-01-16,166.548981,92.613724,100.620377,43.248016,30.758898,81.418015,97.312531,81.481804,122.519997,14.837430,55.334538,33.137440,59.627068,48.194164,51.806839
2015-01-20,166.904205,93.348587,100.197876,43.397423,30.712170,81.556755,98.605743,81.669754,124.199997,14.634524,54.897385,33.194134,59.950897,48.036362,52.043091
2015-01-21,167.746689,93.826271,99.878868,43.738899,31.389812,81.410721,97.465950,81.636177,124.230003,14.727522,54.859386,33.250824,60.187168,48.397030,52.144348
2015-01-22,170.241318,95.562408,101.913727,43.902538,31.989563,81.366920,97.115273,81.595894,125.230003,14.710613,55.835026,33.736851,61.219906,48.750198,52.979675
2015-01-23,169.307907,95.773705,101.844772,43.653542,31.748108,81.571373,98.466927,82.072418,124.230003,14.617615,55.676655,33.558632,61.097378,48.907970,52.861553
2015-01-26,169.704376,95.663460,102.827652,44.251141,31.763674,81.534843,98.167389,82.052292,122.989998,14.566890,56.145473,33.631538,61.158653,48.832848,52.954357
2015-01-27,167.465881,93.183258,102.336205,44.315163,31.592316,81.491074,98.320816,82.112717,124.400002,14.642980,56.164478,33.388538,60.379723,48.629955,52.068409
2015-01-28,165.318253,92.705566,100.611755,43.653542,31.249607,81.834236,99.928146,82.669777,123.419998,14.431621,55.790688,33.007828,59.688328,47.638119,51.579025
2015-01-29,166.846375,93.596634,101.999954,44.251141,31.249607,81.768555,99.270653,82.475143,120.760002,14.363983,55.987114,33.177921,60.257187,48.036362,52.076851
2015-01-30,164.748260,92.870926,99.758156,43.553936,30.392818,82.060616,101.031456,83.152992,123.449997,14.710613,54.834053,32.627129,59.154469,47.555489,51.612785
2015-02-02,166.788574,93.679276,100.672127,44.080399,30.938047,82.057686,100.650032,83.230446,122.419998,14.913519,54.688313,32.910637,59.592052,47.420231,52.076851
2015-02-03,169.200516,94.579506,102.474136,44.784718,31.522228,81.743179,98.519585,82.557411,121.050003,15.327781,55.163486,33.275143,60.160915,49.058262,52.861553
2015-02-04,168.556213,94.496834,102.094780,44.414768,31.366451,81.867531,98.687996,82.671860,121.580002,14.989607,54.935383,33.194134,60.064671,49.193512,52.481857
2015-02-05,170.257812,95.314377,103.413963,45.026596,31.553381,81.699318,97.604416,82.409355,121.790001,15.192513,55.594311,33.518150,60.721069,49.433964,53.123108
2015-02-06,169.786957,94.735664,103.301888,44.464569,31.015944,81.223984,95.876663,81.547874,118.639999,15.234785,53.978725,33.226540,60.134663,49.621799,52.768730
2015-02-09,169.027069,94.432556,102.482758,44.251141,30.969202,81.209305,95.722916,81.601768,119.169998,15.386966,53.598583,33.048340,59.758327,49.110855,52.599983
2015-02-10,170.827744,95.902336,103.138054,44.656654,30.891304,81.121544,94.961548,81.379654,118.470001,15.192513,53.769661,33.396633,60.589775,49.569202,53.156857
2015-02-11,170.926849,96.251389,102.991470,44.414768,30.665426,81.085014,95.137260,81.433510,117.070000,15.074152,53.611259,33.412830,60.904858,49.644344,53.182167
2015-02-12,172.570633,97.372070,104.164070,45.104858,31.319712,81.099602,94.822449,81.642120,117.339996,15.302422,54.251156,33.574841,61.298687,50.132736,53.620945
2015-02-13,173.281006,98.208008,104.784882,45.403660,31.678009,81.004578,93.848770,81.319107,117.980003,15.471507,53.890038,33.599129,61.377441,50.350651,53.949982
2015-02-17,173.553604,98.299866,105.112549,45.510380,31.607895,80.675453,92.435715,80.942215,116.010002,15.479961,53.756989,33.615341,61.639999,50.478371,53.983742
2015-02-18,173.570099,98.437691,105.224602,45.780716,31.600122,80.902138,92.984871,81.231590,116.339996,15.293967,54.257488,33.728737,61.823772,50.373180,54.093445
2015-02-19,173.446198,98.924538,105.233223,45.837635,31.467703,80.836342,92.369934,81.218147,115.940002,15.243242,53.091747,33.582935,61.858818,50.373180,54.194695
2015-02-20,174.487000,99.585930,105.517769,46.264496,31.678009,80.850945,92.640808,81.339310,115.279999,15.184057,53.604950,33.801643,62.366425,50.395733,54.591259
2015-02-23,174.462234,99.686966,105.621246,46.100868,31.358648,80.997261,93.702362,81.615204,115.430000,15.082606,54.035767,33.842148,62.585217,50.455841,54.633446
2015-02-24,174.957794,99.760460,105.759171,46.385429,31.810417,81.355568,94.932259,82.146858,115.260002,15.091062,52.971371,33.858349,62.655216,50.658726,54.751579
2015-02-25,174.809113,99.512436,105.879890,46.421005,31.748108,81.414070,95.342201,82.220909,115.699997,15.319330,52.984039,33.866444,62.506454,50.598602,54.835945
2015-02-26,174.602615,100.017654,106.267914,46.292953,31.755894,81.121544,94.039085,81.776756,116.070000,15.192513,52.407520,33.834045,62.602745,50.373180,54.802185
2015-02-27,174.007874,99.576714,105.690208,46.314293,31.732538,81.326347,94.829773,81.971893,116.160004,15.361601,52.819336,33.817833,62.366425,50.373180,54.717823
2015-03-02,175.106522,100.476967,106.457573,46.385429,31.685789,80.913200,93.063416,81.261322,115.680000,15.141789,53.123459,33.931252,62.751514,50.643684,55.139702
2015-03-03,174.387817,100.008461,105.828163,46.100868,31.444338,80.810600,92.725990,81.214043,115.470001,15.234785,53.022072,33.801643,62.331421,50.298046,54.827515
2015-03-04,173.652679,99.622658,105.500534,45.915882,31.101618,80.854576,92.755341,81.160118,115.110001,15.099516,52.515221,33.647743,62.252663,50.125229,54.599686
2015-03-05,173.842682,99.797195,105.810928,46.022602,31.054878,80.891167,92.637939,81.268082,115.000000,15.040335,52.667278,33.769241,62.392696,50.200359,54.768444
2015-03-06,171.397675,98.667305,104.474472,45.396549,30.579752,80.363663,90.591370,80.404266,111.860001,14.854337,50.918682,33.169834,61.394947,49.411411,53.941570
2015-03-09,172.108063,98.952095,104.931465,45.467693,30.462917,80.568840,91.427628,80.728180,111.970001,14.812067,51.324142,33.323738,61.771294,49.726990,54.245323
2015-03-10,169.316193,97.114868,103.724365,44.478794,29.785269,80.759323,92.630653,80.856407,111.419998,14.617615,51.286125,32.894432,60.817333,48.885429,53.342506
2015-03-11,168.919617,96.554527,104.362419,44.592625,30.011150,80.920441,93.305458,81.268082,110.750000,14.693704,51.330486,32.821541,60.686043,48.900459,53.072475
2015-03-12,171.067276,97.188362,106.095467,45.147549,30.198093,80.986435,93.239479,81.187080,110.720001,14.626070,52.223789,33.250824,61.368698,49.306213,53.629364
2015-03-13,170.018250,96.765793,105.716057,44.884315,29.832005,80.832558,92.953392,80.957664,110.879997,14.330168,52.192104,33.088825,61.106133,49.163452,53.266548
2015-03-16,172.289764,98.015099,106.336853,45.389431,30.190300,81.008423,93.848305,81.038612,110.809998,14.313258,52.730629,33.542431,62.042587,49.734509,54.051243
2015-03-17,171.777679,98.171272,106.621414,45.275600,30.540804,80.993736,94.625862,81.173599,110.209999,14.211805,52.711613,33.396633,62.086361,49.644344,53.814999
2015-03-18,173.842682,99.135803,107.475014,46.243153,31.288555,81.587135,96.452339,82.172287,112.370003,14.600706,53.814026,33.801643,62.751514,50.192875,54.473125
2015-03-19,173.049698,99.282784,107.681961,45.702461,30.758898,81.301430,95.960869,81.753937,112.290001,14.355530,53.788677,33.696339,62.839020,49.884792,54.464687
2015-03-20,174.577194,99.925438,108.630356,46.712704,31.218452,81.550522,96.466995,81.983337,113.570000,14.549980,55.138123,33.963638,63.311626,50.515949,54.987823
2015-03-23,174.236984,99.732040,108.535500,46.947456,31.311920,81.565163,96.349648,82.172287,114.290001,14.719069,55.068447,34.020344,62.987804,50.418285,54.979389
2015-03-24,173.257965,99.372993,108.509659,46.847874,31.436546,81.784958,97.281242,82.293816,114.570000,14.600706,54.599628,33.817833,62.672741,50.057610,54.599686
2015-03-25,170.719070,97.098824,105.917694,46.627327,30.938047,81.631104,96.459656,82.023888,114.730003,14.642980,53.657631,33.394005,61.376202,49.499733,53.816486
2015-03-26,170.312546,96.767387,105.787994,46.221802,30.649857,81.338066,94.955956,81.517754,115.480003,14.820522,53.377190,33.288258,61.393780,49.295898,53.731819
2015-03-27,170.702484,97.154099,106.462547,46.342751,30.735533,81.455261,96.136932,81.841637,115.059998,14.524620,53.447289,33.434689,61.850201,49.243057,53.757229
2015-03-30,172.785049,98.268135,107.906830,46.371208,31.327503,81.491882,95.660118,81.983337,113.750000,14.600706,54.212105,33.800762,62.420799,49.899837,54.375294
2015-03-31,171.275024,97.227737,107.560913,45.652660,31.257399,81.631104,95.865463,82.131828,113.660004,14.431621,53.734112,33.564831,61.709793,49.899837,53.858829
2015-04-01,170.669373,96.721352,107.604156,45.979912,31.646852,81.896027,97.124680,82.368019,115.599998,14.693704,53.657631,33.483498,61.200649,49.499733,53.537067
2015-04-02,171.283310,96.785805,107.803085,46.378334,32.121986,81.785965,96.095589,82.232635,115.279999,14.617615,54.065529,33.548588,61.349880,49.545021,53.638687
2015-04-06,172.436569,97.577591,108.278717,46.847874,32.534798,81.837326,95.559013,82.340897,116.690002,14.803611,54.626381,33.735683,61.657120,50.020618,53.935028
2015-04-07,171.980255,97.411873,107.586868,46.783844,32.371235,81.852005,96.360207,82.638626,116.110001,14.879701,53.663998,33.605522,61.639545,49.801685,54.036644
2015-04-08,172.561035,98.185310,108.512238,46.983047,33.048874,81.859398,96.389587,82.611595,115.470001,14.592253,53.746849,33.703148,61.850201,49.839432,54.104374
2015-04-09,173.324371,98.802155,108.123047,47.047081,33.376015,81.653847,95.139969,82.192062,114.669998,14.592253,52.631500,33.760090,62.060894,50.035709,54.375294
2015-04-10,174.270187,99.207298,108.641968,47.139557,33.399380,81.653847,95.279671,82.307076,115.970001,14.744431,52.593254,33.849571,62.412010,50.337685,54.510792
2015-04-13,173.482025,98.958672,108.711121,46.840744,33.204651,81.741951,95.411995,82.280037,115.139999,14.676798,52.453064,33.703148,62.087227,50.299934,54.332977
2015-04-14,173.813873,98.673264,108.685204,47.189362,33.352646,81.830017,96.088242,82.469490,114.440002,14.744431,52.637867,33.776356,62.017014,50.277294,54.197506
2015-04-15,174.593811,99.290123,109.446297,47.402790,33.586323,81.940102,96.007347,82.523575,115.430000,15.040335,52.242744,33.808910,62.218914,50.805729,54.536201
2015-04-16,174.543976,99.152054,109.385750,47.530846,33.851147,81.896027,95.529602,82.476242,115.029999,15.200968,52.376572,33.776356,62.254032,50.564167,54.400719
2015-04-17,172.536148,97.605240,107.612785,46.933239,33.259186,81.962135,96.624855,82.699516,115.599998,15.167151,52.134373,33.442822,61.499107,50.035709,53.714890
2015-04-20,174.112579,99.069145,108.667931,46.983047,33.228027,81.903381,95.772163,82.503304,114.720001,15.099516,52.210861,33.727547,62.166260,50.541523,54.307579
2015-04-21,173.905106,99.492691,108.555473,47.402790,33.422752,81.815292,95.338524,82.483009,115.379997,14.989607,52.300087,33.711273,62.350563,50.488663,54.358376
2015-04-22,174.759766,100.035927,108.719810,47.495277,33.781040,81.573074,93.883049,81.948463,113.830002,15.040335,52.408436,33.825172,62.561253,50.179142,54.680126
2015-04-23,175.199509,100.413452,109.212753,47.673134,34.030285,81.697876,94.287292,82.158211,114.660004,15.226332,52.548653,33.955322,62.649048,50.730232,54.942616
2015-04-24,175.606003,101.776070,108.849525,47.950588,34.154911,81.837326,94.875366,82.313873,113.050003,15.217877,52.657013,34.004131,62.754375,50.647186,55.145790
2015-04-27,174.875916,101.518272,107.647408,48.185364,34.287334,81.866737,94.875366,82.252991,115.330002,15.217877,52.586887,33.768219,62.262791,50.654751,54.934139
2015-04-28,175.431747,101.315704,108.244141,48.242271,34.341854,81.551094,93.566917,81.765778,116.330002,15.243242,52.484913,33.906509,62.324257,50.752884,54.993401
2015-04-29,174.709915,100.680428,107.067963,47.822533,33.913460,81.367584,92.420280,81.089127,115.510002,15.344692,51.426926,33.646191,61.920460,50.594337,54.680126
2015-04-30,172.959351,99.096779,104.802040,47.317421,33.399380,81.367584,92.581917,81.156769,113.470001,15.463054,50.592018,33.369614,61.068981,50.231991,53.951973
2015-05-01,174.834366,100.404190,105.485306,47.843876,33.601894,81.136711,91.335693,80.708984,113.080002,15.446146,50.974434,33.621784,61.999454,50.586803,54.722477
2015-05-04,175.332245,100.569969,105.865807,47.794067,33.796616,80.982300,90.473869,80.451164,114.099998,15.437691,51.025410,33.719414,62.148689,50.918961,54.841007
2015-05-05,173.324371,98.931076,104.516655,47.082645,33.430523,80.908737,90.348656,80.315430,114.419998,15.564504,49.916431,33.353340,61.226967,50.330128,54.273708
2015-05-06,172.610825,98.249725,104.879875,47.203587,33.017723,80.636696,88.801819,79.969383,114.360001,15.564504,49.820839,33.271976,60.981205,50.111217,53.968891
2015-05-07,173.299438,98.838997,105.277718,47.047081,32.970982,80.835220,89.995087,80.288261,113.419998,15.319330,50.585655,33.450958,61.499107,50.239540,54.256779
2015-05-08,175.581116,100.072784,106.064728,48.135567,33.391594,81.099953,90.238174,80.749687,113.970001,15.403872,51.293087,33.833305,62.289124,50.835922,55.069626
2015-05-11,174.743149,99.686066,106.125267,47.715820,33.072243,80.585182,88.043152,79.935440,113.529999,15.336238,50.521931,33.654327,62.087227,50.594337,54.900269
2015-05-12,174.220459,99.234901,105.935005,47.687355,32.963200,80.577858,88.271515,79.820122,114.500000,15.496870,50.674877,33.589260,61.867786,50.533962,54.730930
2015-05-13,174.253616,99.437454,105.935005,48.043087,33.025509,80.570526,87.564362,79.745529,116.550003,15.513780,50.190498,33.556698,61.938019,50.420727,54.713997
2015-05-14,176.070679,100.892181,107.059280,48.619339,33.352646,80.695511,87.800110,80.016876,117.180000,15.606778,51.159233,33.955322,62.807026,50.866116,55.374428
2015-05-15,176.261490,100.892181,106.938217,48.676254,33.609680,81.033760,89.560532,80.573280,117.529999,15.598323,51.681873,34.069214,62.938709,50.964260,55.416748
2015-05-18,176.809097,101.334137,108.149010,48.512615,33.266975,80.724892,88.057892,79.955772,117.519997,15.556052,51.548019,34.118031,63.272293,51.107689,55.569180
2015-05-19,176.750977,101.223648,108.001968,48.327656,33.321487,80.445473,87.277122,79.528389,115.889999,15.226332,51.369572,34.142422,63.254730,51.145432,55.619980
2015-05-20,176.626495,101.288094,108.200897,48.420135,33.298130,80.570526,87.424408,79.623322,116.080002,15.192513,51.324982,34.126160,63.237171,51.213383,55.560699
2015-05-21,177.140991,101.812935,108.079811,48.676254,33.181286,80.820534,88.647163,80.003334,115.690002,15.378510,51.082787,34.101753,63.324955,51.198280,55.653835
2015-05-22,176.717865,101.711639,107.612785,48.363224,33.290337,80.732254,88.684013,79.949020,115.599998,15.209423,51.019035,34.012268,63.228374,51.251122,55.484501
2015-05-26,174.817810,100.542320,106.583618,47.495277,32.760685,80.930817,90.201332,80.301857,113.910004,14.913519,50.630253,33.719414,62.587585,50.541523,54.807144
2015-05-27,176.477203,102.162773,107.889549,47.957699,32.768471,81.011742,90.407616,80.383301,113.889999,14.710613,51.127380,33.939068,63.412724,50.903873,55.255882
2015-05-28,176.278107,101.932602,107.794411,47.872334,32.340076,80.982300,90.186584,80.213638,114.019997,14.786703,51.025410,33.914642,63.324955,50.994457,55.222019
2015-05-29,175.182877,101.324951,107.145782,47.409908,32.028507,81.011742,90.385468,80.247574,114.099998,14.972699,50.439056,33.711273,63.123058,50.692478,54.773266
2015-06-01,175.539688,101.665619,107.483109,47.281837,31.903887,80.787758,89.414085,79.797852,114.000000,14.938883,51.057281,33.800762,63.175728,50.692478,54.917202
2015-06-02,175.365372,101.343338,107.690636,47.502380,32.028507,80.470917,88.166573,79.389580,114.459999,15.116424,50.585655,33.686874,62.903622,50.760429,54.866398
2015-06-03,175.830078,101.647202,108.763054,47.765614,31.864943,80.154144,86.749290,78.879272,113.639999,14.921973,49.859070,33.678730,63.000156,50.881218,54.968021
2015-06-04,174.344879,100.873764,107.673332,47.253387,31.382029,80.323563,87.878693,79.287521,112.839996,14.786703,49.763474,33.450958,62.508575,50.503769,54.468456
2015-06-05,174.046219,100.634392,108.451706,46.691353,31.241808,79.969971,86.808334,78.886108,112.239998,14.854337,49.209003,33.255722,62.324257,50.488663,54.358376
2015-06-08,172.975845,99.612366,107.950081,46.627327,31.234030,80.087845,86.712364,78.831657,112.570000,14.862796,49.119762,33.109276,61.955582,50.299934,54.011246
2015-06-09,172.951004,99.446671,107.621445,46.371208,31.047091,79.859482,86.025864,78.477875,112.820000,15.099516,48.762840,33.052330,62.008209,50.322571,54.002781
2015-06-10,175.025223,100.809303,108.961983,47.345871,31.498856,79.660583,85.272949,78.266876,113.779999,15.158698,49.107025,33.337070,62.763157,50.828377,54.739395
2015-06-11,175.589417,100.956635,109.238708,47.473923,31.343075,80.087845,87.066666,78.960915,113.260002,15.023428,49.406578,33.507889,62.938709,50.911411,54.959545
2015-06-12,174.245316,100.127991,108.910080,47.096870,31.343075,79.992111,87.066666,78.824867,113.230003,14.871248,49.361958,33.304527,62.596371,50.526409,54.519241
2015-06-15,173.498596,99.630798,108.564110,46.812294,30.992573,80.087845,87.206947,78.811249,113.730003,14.803611,49.094273,33.125561,62.552486,50.292385,54.231373
2015-06-16,174.444458,100.174034,109.333855,46.798069,31.000364,80.220474,87.893402,79.008537,113.320000,14.845884,49.489433,33.345200,62.965023,50.556618,54.586990
2015-06-17,174.726562,100.450256,109.169533,46.691353,31.187300,80.227852,87.214310,79.001785,113.849998,14.888156,49.910065,33.467232,63.061607,50.556618,54.798672
2015-06-18,176.543625,101.914192,110.631126,47.111107,31.475492,80.205757,86.786171,78.858902,115.320000,14.888156,50.598389,33.825172,63.956982,51.115250,55.365959
2015-06-19,175.759857,101.410332,110.579239,46.997272,31.202864,80.456223,87.900833,79.280724,115.120003,14.752887,50.209618,33.686874,63.904305,50.911411,55.188152
2015-06-22,176.660339,102.157791,111.340294,47.886562,31.654644,80.058388,86.107033,78.654755,113.639999,14.803611,49.693378,33.784489,64.193970,51.137894,55.382881
2015-06-23,176.785385,102.240883,111.573792,48.014606,31.966202,79.874222,85.590363,78.477875,112.889999,14.981153,49.279095,33.751945,64.316864,51.137894,55.289768
2015-06-24,175.501434,101.714874,110.631126,47.601986,31.740318,79.999466,86.328568,78.695511,112.589996,14.879701,49.011421,33.506714,63.750690,50.825268,54.986916
2015-06-25,174.967834,101.511841,110.570595,47.581001,31.631243,79.911079,86.025864,78.566315,112.440002,14.896610,48.514290,33.433140,64.102898,50.840435,54.782768
2015-06-26,174.934494,100.838150,110.267899,47.559303,31.333057,79.719482,85.058838,78.205742,112.559998,14.964245,48.863220,33.498539,63.909191,50.506569,54.731724
2015-06-29,171.266006,98.457253,107.483109,46.097946,30.634672,80.191010,87.310272,78.886108,113.070000,14.896610,48.103565,32.926342,62.720448,49.740150,53.515285
2015-06-30,171.624542,98.807938,107.984688,45.931561,31.089802,80.139412,86.704979,78.736389,112.370003,15.217877,48.084244,32.959038,62.905361,49.853977,53.761967
2015-07-01,173.000214,99.592331,108.304665,46.228161,31.066259,79.937164,85.534630,78.483902,111.980003,15.031880,48.876091,33.351406,63.495342,49.891922,54.034161
2015-07-02,172.841843,99.620010,107.504784,46.286045,31.215357,80.047867,85.815750,78.784157,111.760002,15.006518,48.998405,33.375931,63.354446,49.998154,54.119247
2015-07-06,172.349915,99.389328,107.470039,45.352791,30.344330,80.335777,87.406281,79.098000,112.059998,14.516163,49.307442,33.400452,63.222351,49.603561,53.889561
2015-07-07,173.433777,99.638466,107.591637,45.367271,29.889219,80.446510,88.227516,79.425537,110.760002,14.431621,50.079979,33.719242,63.618599,49.960194,54.263866
2015-07-08,170.524002,97.903526,105.950165,44.311028,28.861250,80.638435,88.989487,79.534782,111.089996,14.363983,49.886826,33.359573,62.685234,49.064812,53.438709
2015-07-09,170.832474,97.848183,106.332298,45.041714,29.418396,80.343193,87.236145,79.009361,111.360001,14.533073,49.648640,33.359573,62.940601,49.360756,53.600327
2015-07-10,172.983536,99.343178,107.808762,46.517540,30.163851,80.003639,85.852768,78.504433,111.489998,14.600706,50.060661,33.711082,63.917984,49.838806,54.161777
2015-07-13,174.892822,101.087318,109.024681,46.691170,30.367868,79.885529,85.586426,78.333885,110.989998,14.609162,50.131474,33.948132,64.596008,50.324444,54.884830
2015-07-14,175.651474,101.751778,109.632629,47.081829,30.422812,80.018387,85.867554,78.402016,110.739998,14.558435,50.234486,34.021706,64.965820,50.590023,55.123020
2015-07-15,175.593109,101.862511,109.050728,46.908199,30.077541,80.232452,86.777496,78.606758,110.160004,14.389349,50.318161,33.997185,64.842545,50.445850,55.089005
2015-07-16,177.002182,103.302132,109.702110,47.313328,30.454208,80.298859,87.376732,78.729576,109.760002,14.321713,50.723763,34.217892,65.212357,50.794899,55.480305
2015-07-17,177.152206,104.824799,109.224434,47.233753,30.414961,80.306259,87.827965,78.784157,108.650002,14.245625,50.543507,34.144318,65.212357,50.794899,55.863091
2015-07-20,177.243927,105.184708,108.633865,47.356728,30.218782,80.166008,87.458130,78.599907,105.699997,14.017355,50.601437,34.160664,65.423706,50.734196,55.982208
2015-07-21,176.543655,105.120110,108.121422,47.219284,30.226629,80.298859,87.931534,78.763733,105.370003,14.076535,50.459801,34.005367,65.053879,50.407902,55.820568
2015-07-22,176.226776,103.929642,108.520912,46.857548,29.795048,80.335777,88.479019,78.866058,104.800003,13.873631,50.678696,34.054405,65.080307,50.407902,55.590889
2015-07-23,175.234604,103.542076,107.322395,46.734581,29.504700,80.564659,89.581284,79.098000,104.330002,13.755270,50.047783,33.841869,64.754509,50.203033,55.293159
2015-07-24,173.417099,102.526924,105.594063,46.220924,29.080975,80.549820,89.803238,79.063934,105.349998,13.645363,50.260227,33.719242,64.604813,49.899506,54.468018
2015-07-27,172.408295,101.677933,104.716866,45.880901,28.531681,80.653191,90.284134,79.070755,104.860001,13.383277,50.350368,33.629345,64.102898,49.193806,54.119247
2015-07-28,174.525986,102.554634,105.611420,46.459667,28.822020,80.571991,89.625694,79.009361,105.019997,13.493185,50.382557,33.980827,64.921806,49.800858,54.842308
2015-07-29,175.726532,102.942238,105.906715,46.626053,29.104511,80.505531,89.292732,78.941101,105.169998,13.535456,50.710880,34.209713,65.344444,50.263733,55.301662
2015-07-30,175.768234,103.431313,106.210709,46.589886,28.814173,80.512978,89.980797,78.981979,104.269997,13.484730,50.459801,34.226055,65.282806,50.195442,55.480305
2015-07-31,175.501434,103.311356,106.792603,46.864792,29.128052,80.830414,90.646599,79.391495,104.930000,13.298733,50.858952,34.283302,65.291634,50.013325,55.310169
2015-08-03,174.909470,102.988380,106.262779,46.741810,28.641535,80.913940,91.600800,79.576241,104.099998,13.078919,51.174404,34.315990,65.221184,49.907093,55.089005
2015-08-04,174.567673,102.794548,106.010941,46.777992,28.743547,80.677269,90.874237,79.172432,104.309998,13.155009,50.801018,34.291458,64.974625,49.694633,55.106007
2015-08-05,175.142929,103.588211,106.254097,47.023960,28.751392,80.529358,90.192078,78.864525,103.930000,13.104283,50.466240,34.495815,65.238770,49.808437,55.556862
2015-08-06,173.708862,101.927116,104.821060,46.828629,28.500294,80.625481,90.992836,79.015060,104.389999,13.095829,50.537048,34.291458,64.067680,49.603561,54.884830
2015-08-07,173.375366,101.797897,104.117577,46.741810,28.484594,80.766014,92.186516,79.288834,104.650002,13.045103,50.723763,34.283302,64.023628,49.603561,54.765755
2015-08-10,175.559784,102.960663,105.316116,47.313328,28.963261,80.662453,91.044724,78.974045,105.720001,13.324097,50.562809,34.503990,64.507965,50.096790,55.395229
2015-08-11,173.975723,101.641014,104.412834,46.589886,28.327660,80.928703,92.490540,79.302483,106.260002,13.146555,50.897579,34.430420,64.120506,49.558041,54.961403
2015-08-12,174.184128,101.991714,104.213081,46.257107,27.888226,80.876945,91.986305,79.179337,107.750000,13.104283,51.058506,34.528522,63.917984,49.580799,55.037941
2015-08-13,173.967331,101.825600,103.865700,46.228161,27.841139,80.706863,91.689758,78.905624,106.860001,13.045103,51.116459,34.536674,64.146927,49.800858,55.046471
2015-08-14,174.600998,101.982483,104.534462,46.300503,27.880381,80.669868,91.904793,78.980865,106.849998,12.960558,51.393299,34.700184,64.305420,49.785683,55.174061
2015-08-17,175.576431,102.831490,105.637474,46.213692,27.574348,80.810364,92.319946,79.234070,107.129997,12.909832,51.831066,34.847321,64.957001,49.967789,55.463287
2015-08-18,175.067902,102.305481,104.795006,45.866440,27.276157,80.662453,91.593369,78.932991,107.110001,12.842196,51.972710,34.839142,64.868950,49.907093,55.395229
2015-08-19,173.683899,101.631798,103.709366,45.461319,26.938740,80.913940,92.497902,79.316200,108.550003,12.698473,51.663677,34.716518,64.613617,49.504929,55.182564
2015-08-20,170.057129,98.817162,101.086449,44.361675,26.515001,81.039703,93.432091,79.364090,110.440002,12.732291,51.283852,34.217892,63.028641,48.518471,54.034161
2015-08-21,164.938019,94.498276,99.905258,43.348846,25.698914,81.180237,93.713791,79.384636,111.129997,12.520931,50.331051,33.335060,60.932972,47.160206,52.128689
2015-08-24,157.992920,90.862312,96.005653,41.851311,24.576790,81.150627,93.684151,79.165634,110.529999,12.208118,47.974796,32.084385,58.520306,45.308678,50.138142
2015-08-25,156.133774,90.520882,95.267403,42.249218,24.890678,80.958267,92.179100,78.761894,109.160004,12.258845,46.655033,31.536697,58.361801,45.521160,49.551170
2015-08-26,162.128250,95.079659,97.690590,43.247562,25.714607,80.581078,90.399704,78.714020,107.669998,12.182755,47.916859,32.493103,60.677631,45.946102,51.830952
2015-08-27,166.138550,97.488266,99.436256,43.775677,26.852427,80.692070,90.451599,78.789253,107.730003,12.622384,48.843925,33.089825,62.165737,47.008427,52.877270
2015-08-28,166.146942,97.469818,100.417702,43.710567,26.507158,80.618126,90.718513,78.932991,108.699997,12.952104,48.773083,33.057125,62.051239,47.152603,52.894299
2015-08-31,164.804565,96.260902,100.052902,43.385010,26.554237,80.558899,90.021622,78.734558,108.820000,13.264915,47.659332,32.730152,61.373230,47.122250,52.315826
2015-09-01,159.885574,93.252487,97.186813,41.930893,25.526285,80.797569,90.670235,79.211487,109.199997,12.825289,46.751614,31.953587,59.709015,45.574268,50.886711
2015-09-02,162.920349,95.882523,98.932549,42.553066,25.895088,80.693825,89.890045,79.094818,108.620003,12.935195,47.234444,32.411362,61.056255,45.968861,51.771416
